run_date,sid,label,thesis,rs,mom,quad,disp,disp_pct
2026-08-31,EWJ,Japon,0,-0.656,-0.3522,LAGGING,4.431,49.21
2026-08-31,MCHI,Chine,0,-0.9717,-0.587,LAGGING,4.431,49.21
2026-08-31,EWY,Corée,1,0.0945,0.4871,LEADING,4.431,49.21
2026-08-31,EWT,Taïwan,1,1.0222,0.3908,LEADING,4.431,49.21
2026-08-31,INDA,Inde,0,-0.9507,-0.5544,LAGGING,4.431,49.21
2026-08-31,EWH,Hong Kong,0,-0.7415,-0.57,LAGGING,4.431,49.21
2026-08-31,EWS,Singapour,0,1.2911,-0.1494,WEAKENING,4.431,49.21
2026-08-31,EWA,Australie,0,-0.5587,-0.4176,LAGGING,4.431,49.21
2026-08-31,EIDO,Indonésie,0,-0.7663,0.5874,IMPROVING,4.431,49.21
2026-08-31,THD,Thaïlande,0,-1.2461,-1.2741,LAGGING,4.431,49.21
2026-08-31,EWM,Malaisie,0,-0.9035,-0.3292,LAGGING,4.431,49.21
2026-09-01,EWJ,Japon,0,-0.716,-0.3371,LAGGING,3.19,20.63
2026-09-01,MCHI,Chine,0,-0.9849,-0.5424,LAGGING,3.19,20.63
2026-09-01,EWY,Corée,1,-0.0284,0.2853,IMPROVING,3.19,20.63
2026-09-01,EWT,Taïwan,1,1.2615,0.6856,LEADING,3.19,20.63
2026-09-01,INDA,Inde,0,-0.9439,-0.5486,LAGGING,3.19,20.63
2026-09-01,EWH,Hong Kong,0,-0.873,-0.5163,LAGGING,3.19,20.63
2026-09-01,EWS,Singapour,0,1.0813,-0.244,WEAKENING,3.19,20.63
2026-09-01,EWA,Australie,0,-0.6228,-0.3779,LAGGING,3.19,20.63
2026-09-01,EIDO,Indonésie,0,-0.6775,0.7167,IMPROVING,3.19,20.63
2026-09-01,THD,Thaïlande,0,-1.4257,-1.2056,LAGGING,3.19,20.63
2026-09-01,EWM,Malaisie,0,-1.1955,-0.6057,LAGGING,3.19,20.63
