run_date,sid,label,thesis,rs,mom,quad,disp,disp_pct
2026-08-14,EXV1.DE,Banks,0,1.8964,0.5137,LEADING,3.3671,23.02
2026-08-14,EXV2.DE,Télécoms,0,-1.2963,-0.1159,LAGGING,3.3671,23.02
2026-08-14,EXV3.DE,Technology,0,0.8901,0.1698,LEADING,3.3671,23.02
2026-08-14,EXV4.DE,Health Care,1,-1.9198,-1.0329,LAGGING,3.3671,23.02
2026-08-14,EXV5.DE,Auto & Parts,0,-1.2743,0.4823,IMPROVING,3.3671,23.02
2026-08-14,EXV6.DE,Basic Resources,0,-0.5416,0.3709,IMPROVING,3.3671,23.02
2026-08-14,EXV7.DE,Chemicals,0,0.1013,-1.0406,WEAKENING,3.3671,23.02
2026-08-14,EXV8.DE,Construction,0,-1.5252,0.0759,IMPROVING,3.3671,23.02
2026-08-14,EXV9.DE,Travel & Leisure,0,-0.4932,-1.0019,LAGGING,3.3671,23.02
2026-08-14,EXH1.DE,Oil & Gas,0,-0.0592,0.1754,IMPROVING,3.3671,23.02
2026-08-14,EXH2.DE,Financial Svs,0,1.2414,-0.776,WEAKENING,3.3671,23.02
2026-08-14,EXH3.DE,Food & Beverage,1,-0.8392,-0.975,LAGGING,3.3671,23.02
2026-08-14,EXH4.DE,Indus. G&S,0,2.2398,2.1818,LEADING,3.3671,23.02
2026-08-14,EXH5.DE,Insurance,0,1.2357,-0.5027,WEAKENING,3.3671,23.02
2026-08-14,EXH6.DE,Media,0,1.5212,0.4072,LEADING,3.3671,23.02
2026-08-14,EXH7.DE,Pers.& Household,1,-1.4065,-1.2277,LAGGING,3.3671,23.02
2026-08-14,EXH8.DE,Retail,0,0.5351,0.1851,LEADING,3.3671,23.02
2026-08-14,EXH9.DE,Utilities,0,-2.1688,-1.6414,LAGGING,3.3671,23.02
2026-08-17,EXV1.DE,Banks,0,1.8689,0.4809,LEADING,4.2314,55.56
2026-08-17,EXV2.DE,Télécoms,0,-1.2847,0.0791,IMPROVING,4.2314,55.56
2026-08-17,EXV3.DE,Technology,0,1.0279,0.3578,LEADING,4.2314,55.56
2026-08-17,EXV4.DE,Health Care,1,-1.8133,-1.0019,LAGGING,4.2314,55.56
2026-08-17,EXV5.DE,Auto & Parts,0,-1.1856,0.5493,IMPROVING,4.2314,55.56
2026-08-17,EXV6.DE,Basic Resources,0,-0.3015,0.7762,IMPROVING,4.2314,55.56
2026-08-17,EXV7.DE,Chemicals,0,-0.095,-1.4137,LAGGING,4.2314,55.56
2026-08-17,EXV8.DE,Construction,0,-1.6472,0.1311,IMPROVING,4.2314,55.56
2026-08-17,EXV9.DE,Travel & Leisure,0,-0.4239,-0.7812,LAGGING,4.2314,55.56
2026-08-17,EXH1.DE,Oil & Gas,0,-0.0655,0.2341,IMPROVING,4.2314,55.56
2026-08-17,EXH2.DE,Financial Svs,0,1.2352,-0.436,WEAKENING,4.2314,55.56
2026-08-17,EXH3.DE,Food & Beverage,1,-1.5128,-1.6819,LAGGING,4.2314,55.56
2026-08-17,EXH4.DE,Indus. G&S,0,2.479,2.5668,LEADING,4.2314,55.56
2026-08-17,EXH5.DE,Insurance,0,1.1954,-0.6973,WEAKENING,4.2314,55.56
2026-08-17,EXH6.DE,Media,0,1.2359,-0.0262,WEAKENING,4.2314,55.56
2026-08-17,EXH7.DE,Pers.& Household,1,-1.7052,-1.8573,LAGGING,4.2314,55.56
2026-08-17,EXH8.DE,Retail,0,0.1069,-0.3553,WEAKENING,4.2314,55.56
2026-08-17,EXH9.DE,Utilities,0,-2.1805,-1.2956,LAGGING,4.2314,55.56
2026-08-18,EXV1.DE,Banks,0,1.7577,0.3112,LEADING,3.7716,39.68
2026-08-18,EXV2.DE,Télécoms,0,-1.2843,0.0794,IMPROVING,3.7716,39.68
2026-08-18,EXV3.DE,Technology,0,0.7295,0.0473,LEADING,3.7716,39.68
2026-08-18,EXV4.DE,Health Care,1,-1.0534,-0.0934,LAGGING,3.7716,39.68
2026-08-18,EXV5.DE,Auto & Parts,0,-1.3451,0.3275,IMPROVING,3.7716,39.68
