run_date,sid,label,role,rs,mom,quad,disp,disp_pct
2026-08-19,XLK,Technology,AI,0.5306,-0.2494,WEAKENING,3.3524,39.68
2026-08-19,XLC,Comm Services,AI,-1.2069,-0.1198,LAGGING,3.3524,39.68
2026-08-19,XLY,Cons. Discret.,AI,-1.0373,1.0667,IMPROVING,3.3524,39.68
2026-08-19,XLV,Health Care,ROT,1.4759,1.2975,LEADING,3.3524,39.68
2026-08-19,XLP,Cons. Staples,ROT,-0.6921,-0.0292,LAGGING,3.3524,39.68
2026-08-19,XLF,Financials,ROT,0.6443,-0.1653,WEAKENING,3.3524,39.68
2026-08-19,XLI,Industrials,ROT,-0.8365,-0.2933,LAGGING,3.3524,39.68
2026-08-19,XLE,Energy,,0.5532,0.4879,LEADING,3.3524,39.68
2026-08-19,XLU,Utilities,,-1.3307,-0.6274,LAGGING,3.3524,39.68
2026-08-19,XLB,Materials,,-0.801,0.5378,IMPROVING,3.3524,39.68
2026-08-19,XLRE,Real Estate,,-1.2077,-1.1317,LAGGING,3.3524,39.68
2026-08-24,XLK,Technology,AI,0.3113,-0.5862,WEAKENING,3.9632,56.75
2026-08-24,XLC,Comm Services,AI,-0.9095,1.4726,IMPROVING,3.9632,56.75
2026-08-24,XLY,Cons. Discret.,AI,-0.855,3.0166,IMPROVING,3.9632,56.75
2026-08-24,XLV,Health Care,ROT,1.5299,0.8339,LEADING,3.9632,56.75
2026-08-24,XLP,Cons. Staples,ROT,-0.2885,0.5403,IMPROVING,3.9632,56.75
2026-08-24,XLF,Financials,ROT,1.263,0.0669,LEADING,3.9632,56.75
2026-08-24,XLI,Industrials,ROT,-1.0919,-1.208,LAGGING,3.9632,56.75
2026-08-24,XLE,Energy,,0.5299,0.1817,LEADING,3.9632,56.75
2026-08-24,XLU,Utilities,,-1.3772,-1.2093,LAGGING,3.9632,56.75
2026-08-24,XLB,Materials,,-0.167,0.601,IMPROVING,3.9632,56.75
2026-08-24,XLRE,Real Estate,,-0.6221,-1.2493,LAGGING,3.9632,56.75
2026-08-25,XLK,Technology,AI,0.3828,-0.3115,WEAKENING,3.7312,52.78
2026-08-25,XLC,Comm Services,AI,-0.8326,1.2266,IMPROVING,3.7312,52.78
2026-08-25,XLY,Cons. Discret.,AI,-0.9982,2.1165,IMPROVING,3.7312,52.78
2026-08-25,XLV,Health Care,ROT,1.5312,0.7395,LEADING,3.7312,52.78
2026-08-25,XLP,Cons. Staples,ROT,-0.5538,-0.0993,LAGGING,3.7312,52.78
2026-08-25,XLF,Financials,ROT,1.1963,-0.2132,WEAKENING,3.7312,52.78
2026-08-25,XLI,Industrials,ROT,-1.2948,-1.4268,LAGGING,3.7312,52.78
2026-08-25,XLE,Energy,,0.2306,0.2006,LEADING,3.7312,52.78
2026-08-25,XLU,Utilities,,-1.3683,-1.012,LAGGING,3.7312,52.78
2026-08-25,XLB,Materials,,-0.2242,0.4914,IMPROVING,3.7312,52.78
2026-08-25,XLRE,Real Estate,,-0.698,-1.1788,LAGGING,3.7312,52.78
2026-08-26,XLK,Technology,AI,0.457,0.17,LEADING,3.6168,49.21
